time,p,p_dot,theta,theta_dot,u
1.0200000000000005,1.3900753239774817,0.6283866193751325,-0.05868013622135751,-0.005286900256438331,-1.2175704001912957
1.0400000000000005,1.40243419868114,0.6075014352751182,-0.05873912568409228,-0.0006133060485959373,-1.1822197098997722
1.0600000000000005,1.414382449428035,0.5873233336877063,-0.05870820501081746,0.003706033000740059,-1.1478108309558739
1.0800000000000005,1.4259339777294122,0.5678283701672504,-0.05859425324600976,0.007691574636989239,-1.1143265734551495
1.1000000000000005,1.4371022137427598,0.5489933496008234,-0.05840375072777779,0.011362740471142666,-1.0817492233295152
1.1200000000000006,1.447900131113494,0.5307958119284976,-0.05814279934456774,0.014737962131712282,-1.0500606627225733
1.1400000000000006,1.458340261520169,0.5132140167688628,-0.0578171418836128,0.01783472595575183,-1.0192424726611302
1.1600000000000006,1.468434708904436,0.4962269272610587,-0.05743218050106089,0.020669616147697984,-0.989276021485566
1.1800000000000006,1.4781951633724604,0.47981419336036846,-0.056992994344772854,0.02325835637125423,-0.9601425416509954
1.2000000000000006,1.4876329147586875,0.46395613476901537,-0.05650435636121298,0.025615849765952915,-0.931823196875213
1.2200000000000006,1.4967588658460662,0.4486337236425318,-0.0559707493178303,0.027756217398888935,-0.904299141137043
1.2400000000000007,1.5055835452393378,0.4338285671813475,-0.055396381071986286,0.02969283517534554,-0.8775515706794665
1.2600000000000007,1.5141171198899626,0.41952289019435096,-0.054785199116918565,0.031438369241090586,-0.8515617699151563
1.2800000000000007,1.522369407272816,0.4056995177040547,-0.054140904434514046,0.033004809915119296,-0.8263111519439529
1.3000000000000007,1.5303498872160544,0.3923418576501079,-0.05346696468385134,0.034403504195390504,-0.8017812942550893
1.3200000000000007,1.5380677133865792,0.37943388373808323,-0.05276662675359945,0.035645186882277136,-0.7779539700872817
1.3400000000000007,1.5455317244344007,0.36696011847287735,-0.052042928705454676,0.03674001036549073,-0.7548111758471044
1.3600000000000008,1.5527504547999185,0.35490561641007773,-0.0512987111348801,0.03769757312048551,-0.7323351549337219
1.3800000000000008,1.5597321451887636,0.34325594765379686,-0.05053662797449478,0.03852694696005953,-0.7105084182779022
1.4000000000000008,1.5664847527193715,0.3319971816254577,-0.049759156764552157,0.03923670308621364,-0.6893137618745641
1.4200000000000008,1.573015960748911,0.3211158711245669,-0.048968608414054794,0.03983493698645034,-0.6687342815645376
1.4400000000000008,1.579333188383587,0.31059903669950295,-0.04816713647517942,0.040329292217670086,-0.6487533853028751
1.4600000000000009,1.5854435996796687,0.3004341513436488,-0.04735674595283434,0.04072698311972087,-0.6293548031354739
1.4800000000000009,1.591354112541872,0.29060912552974294,-0.04653930167034157,0.04103481649951918,-0.610522595091918
1.5000000000000009,1.5970714073259675,0.2811122925930625,-0.045716536211429654,0.041259212325510684,-0.5922411571899071
1.520000000000001,1.6026019351526715,0.271932394471957,-0.04489005745793908,0.04140622347109617,-0.5744952257347924
1.540000000000001,1.6079519259400297,0.2630585678123026,-0.04406135574188157,0.04148155454452017,-0.5572698800863087
1.560000000000001,1.613127396161618,0.25448033044063256,-0.04323181062975547,0.04149057984161202,-0.5405505440535555
